postcode,nil,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)"
2223,66,29,46,84,185,136,237,211,313,304,225,280,579,419,341,325,205,227,203,197,42
2224,63,17,66,86,207,125,251,222,284,264,203,220,470,316,260,203,141,147,142,128,16
2225,16,6,4,15,59,36,62,55,70,58,70,75,166,171,134,131,84,104,85,72,8
2226,33,20,39,58,153,101,164,158,219,172,153,165,430,345,290,236,191,175,152,131,13
2227,41,22,44,70,177,125,188,184,258,197,195,203,456,352,308,256,221,175,191,108,21
2228,51,29,88,133,265,162,252,262,288,255,241,223,466,399,259,234,141,130,150,94,11
2229,87,48,111,139,419,253,403,395,467,452,359,390,776,632,523,490,332,350,321,301,56
2230,51,30,57,62,210,151,251,225,276,266,218,247,506,413,314,379,228,241,272,262,55
2231,9,4,5,13,28,22,30,43,50,42,37,49,90,81,35,41,4,15,13,9,3
2232,83,47,88,117,399,248,375,427,514,445,409,423,912,742,590,482,311,316,277,183,32
2233,72,36,70,86,323,223,399,385,572,523,415,524,1087,985,711,514,312,276,230,137,16
2234,80,41,65,86,253,197,323,324,501,480,432,468,1073,933,770,621,471,387,415,307,49
2250,217,126,367,598,1378,994,1465,1435,1605,1584,1242,1316,2428,1409,924,730,346,304,238,185,30
2251,113,74,170,272,897,559,900,693,868,757,578,612,1160,799,567,432,252,225,175,90,12
