postcode,installations
5277,407
5278,75
5279,77
5280,"1,274"
5290,"2,395"
5291,"1,326"
5301,110
5302,176
5303,32
5304,118
5306,12
5307,134
5308,25
5309,21
5310,7
5311,58
5312,1
5320,294
5321,98
5322,234
5330,878
5331,89
5332,105
5333,"1,348"
5340,320
5341,"1,581"
5342,258
5343,993
5344,178
5345,789
5346,69
5350,126
5351,"1,360"
5352,"1,178"
5353,856
5354,181
5355,"1,753"
5356,171
5357,175
5360,243
5371,302
5372,510
5373,789
5374,330
5381,89
5400,201
5401,151
5410,67
5411,63
5412,283
5413,189
5414,25
5415,43
5416,46
5417,314
5418,27
5419,44
5420,20
5421,20
5422,372
5431,237
5432,53
5433,377
5434,83
5440,30
5451,183
5452,95
5453,"1,038"
5454,64
5455,9
5460,157
5461,571
5462,114
5464,98
5470,24
5471,11
5472,41
5473,180
5480,255
5481,151
5482,122
5483,76
5485,141
5490,41
5491,457
5493,25
5495,197
5501,"1,870"
5502,362
5510,29
5520,129
5521,38
5522,559
5523,391
5540,"2,986"
5550,180
5552,65
5554,"1,044"
5555,158
5556,"1,224"
5558,"1,633"
5560,123
5570,219
5571,603
5572,44
5573,635
5575,969
5576,297
5577,151
5580,102
5581,271
5582,261
5583,350
5600,"1,599"
5601,71
5602,355
5603,116
5604,62
5605,478
5606,"2,259"
5607,"1,059"
5608,"1,986"
5609,301
5611,13
5630,19
5631,255
5632,38
5633,48
5640,259
5641,220
5642,46
5650,24
5651,26
5652,144
5653,13
5654,55
5655,17
5660,6
5661,25
5670,115
5671,39
5680,599
5690,584
5700,"2,025"
5701,10
5710,605
5713,3
5717,10
5719,10
5720,10
5722,20
5723,33
5724,4
5725,255
5730,17
5731,25
5732,70
5733,16
5734,3
5875,1
5950,3
6000,416
6001,3
6003,123
6004,151
6005,131
6006,771
6007,556
6008,"1,119"
6009,"1,496"
6010,"1,746"
6011,741
6012,721
6013,1
6014,"1,894"
6015,741
6016,791
6017,363
6018,"4,382"
6019,"1,678"
6020,"2,996"
6021,"2,289"
6022,858
6023,"2,349"
6024,"2,270"
6025,"4,912"
6026,"4,163"
6027,"6,583"
6028,"3,838"
6029,308
