,0
1705,4723
1706,4724
1707,4725
1708,4726
1709,4727
1710,4728
1711,4730
1712,4731
1713,4732
1714,4733
1715,4735
1716,4736
1717,4737
1718,4738
1719,4739
1720,4740
1721,4741
1722,4742
1723,4743
1724,4744
1725,4745
1726,4746
1727,4750
1728,4751
1729,4753
1730,4754
1731,4756
1732,4757
1733,4798
1734,4799
1735,4800
1736,4802
1737,4803
1738,4804
1739,4805
1740,4806
1741,4807
1742,4808
1743,4809
1744,4810
1745,4811
1746,4812
1747,4814
1748,4815
1749,4816
1750,4817
1751,4818
1752,4819
1753,4820
1754,4821
1755,4822
1756,4823
1757,4824
1758,4825
1759,4828
1760,4829
1761,4830
1762,4849
1763,4850
1764,4852
1765,4854
1766,4855
1767,4856
1768,4858
1769,4859
1770,4860
1771,4861
1772,4865
1773,4868
1774,4869
1775,4870
1776,4871
1777,4872
1778,4873
1779,4874
1780,4875
1781,4876
1782,4877
1783,4878
1784,4879
1785,4880
1786,4881
1787,4882
1788,4883
1789,4884
1790,4885
1791,4886
1792,4887
1793,4888
1794,4890
1795,4891
1796,4892
1797,4895
1798,5000
1799,5006
1800,5007
1801,5008
1802,5009
1803,5010
1804,5011
1805,5012
1806,5013
1807,5014
1808,5015
1809,5016
1810,5017
1811,5018
1812,5019
1813,5020
1814,5021
1815,5022
1816,5023
1817,5024
1818,5025
1819,5031
1820,5032
1821,5033
1822,5034
1823,5035
1824,5037
1825,5038
1826,5039
1827,5040
1828,5041
1829,5042
1830,5043
1831,5044
1832,5045
1833,5046
1834,5047
1835,5048
1836,5049
1837,5050
1838,5051
1839,5052
1840,5061
1841,5062
1842,5063
1843,5064
1844,5065
1845,5066
1846,5067
1847,5068
1848,5069
1849,5070
1850,5072
1851,5073
1852,5074
1853,5075
1854,5076
1855,5081
1856,5082
1857,5083
1858,5084
1859,5085
1860,5086
1861,5087
1862,5088
1863,5089
1864,5090
1865,5091
1866,5092
1867,5093
1868,5094
1869,5095
1870,5096
1871,5097
1872,5098
1873,5106
1874,5107
1875,5108
1876,5109
1877,5110
1878,5111
1879,5112
1880,5113
1881,5114
1882,5115
1883,5116
1884,5117
1885,5118
1886,5120
1887,5121
1888,5125
1889,5126
1890,5127
1891,5131
1892,5132
1893,5133
1894,5134
1895,5136
1896,5137
1897,5138
1898,5139
1899,5140
1900,5141
1901,5142
1902,5144
1903,5150
1904,5151
1905,5152
1906,5153
1907,5154
1908,5155
1909,5156
1910,5157
1911,5158
1912,5159
1913,5160
1914,5161
1915,5162
1916,5163
1917,5164
1918,5165
1919,5166
1920,5167
1921,5168
1922,5169
1923,5170
1924,5171
1925,5172
1926,5173
1927,5174
1928,5201
1929,5202
